college,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
Louisiana Tech,26.5,205.74,111.016642,62.0,10.924999999999999,5.95,1.625,-5.074999999999999,0.087,0.21075,0.20450000000000002,0.41900000000000004,0.09024999999999997
Louisiana-Lafayette,23.0,197.2733333333333,97.975872,60.0,6.766666666666666,3.6,2.933333333333333,-1.7,0.09300000000000001,0.14366666666666666,0.19066666666666665,0.5,0.19299999999999998
Louisiana-Monroe,25.0,203.2,88.45044,17.0,3.0,1.3,0.6,-8.5,0.061,0.084,0.177,0.386,0.093
Louisville,23.708333333333332,199.0725,98.24046733333334,33.083333333333336,4.7375,2.6958333333333333,0.975,-9.691666666666666,0.06712499999999999,0.14216666666666666,0.17016666666666666,0.46458333333333335,0.12295833333333332
Loyola (IL),24.0,193.04,81.64656,10.0,3.4,1.8,1.0,-5.3,0.021,0.125,0.173,0.337,0.122
Manhattan,24.0,187.96,88.45044,16.0,2.2,0.2,0.7,13.1,0.015,0.0289999999999999,0.242,0.586,0.262
Marist,30.0,223.52,120.20188,52.0,17.1,6.9,1.3,1.4,0.085,0.201,0.289,0.535,0.083
Marquette,23.764705882352942,198.71764705882353,99.28328423529412,37.1764705882353,4.294117647058823,1.7294117647058822,0.876470588235294,-4.017647058823529,0.04264705882352939,0.13117647058823528,0.19005882352941175,0.46282352941176474,0.11617647058823527
Marshall,22.5,208.28,102.0582,18.5,1.3,0.45,0.2,-72.85000000000001,0.0165,0.05049999999999995,0.1065,0.214,0.043
Maryland,23.782608695652176,201.65391304347827,100.02689669565218,51.56521739130435,5.869565217391305,2.808695652173913,1.2695652173913043,-5.704347826086957,0.06391304347826086,0.1307391304347826,0.18813043478260869,0.474,0.10982608695652175
Massachusetts,24.2,204.724,105.23334399999999,36.2,5.82,2.7399999999999998,0.58,-10.32,0.07259999999999997,0.1336,0.2002,0.4692,0.0648
Master's,26.0,190.5,81.64656,53.0,5.0,1.2,1.3,-0.6,0.013,0.067,0.141,0.5670000000000001,0.129
McNeese State,28.5,189.23000000000002,87.089664,59.5,8.9,1.75,2.9,-6.3999999999999995,0.0235,0.078,0.189,0.5345,0.263
Memphis,23.217391304347824,196.70260869565217,94.990008,40.69565217391305,6.217391304347826,2.0565217391304347,1.5782608695652172,-6.365217391304348,0.04134782608695651,0.12308695652173914,0.19134782608695652,0.4757391304347826,0.15243478260869564
Mercer,33.0,200.66,97.52228,82.0,9.3,4.0,1.0,-4.9,0.064,0.124,0.183,0.523,0.068
Meridian CC,28.0,203.2,92.98636,78.0,8.5,6.2,1.2,7.3,0.052,0.21,0.146,0.54,0.06
Miami,22.0,199.39000000000001,96.61509600000001,29.0,2.725,1.8,0.575,-9.525,0.05974999999999998,0.174,0.17500000000000002,0.41074999999999995,0.07924999999999999
Miami (FL),23.25,194.945,92.022477,25.5,2.2125,0.8,0.4875,-2.3,0.04449999999999999,0.06775,0.17137499999999997,0.3675,0.09012499999999998
Miami (Fla.),24.0,198.12,90.7184,30.0,3.0,1.1,0.5,-8.7,0.015,0.115,0.143,0.518,0.078
Miami (OH),27.333333333333332,199.81333333333336,101.90700266666666,58.666666666666664,6.633333333333333,2.5,1.8333333333333333,1.3,0.050666666666666665,0.11099999999999999,0.15633333333333335,0.5163333333333333,0.11699999999999999
Michigan,24.09375,201.13625,100.00286125,45.5625,6.8125,2.7375,1.34375,-7.70625,0.04643749999999997,0.12181249999999999,0.18084374999999997,0.48225,0.12440625
Michigan State,23.357142857142858,199.02714285714288,100.76222285714286,41.285714285714285,4.860714285714286,2.4785714285714286,0.9392857142857143,-7.517857142857143,0.053107142857142846,0.14721428571428571,0.17849999999999996,0.4323214285714286,0.10392857142857141
Midland,22.0,208.28,127.00576,6.0,0.3,0.3,0.0,-28.3,0.04,0.059,0.127,0.25,0.0
Midwestern State,27.0,205.74,113.398,4.0,3.8,2.5,0.0,-24.1,0.132,0.192,0.174,0.5820000000000001,0.0
Minnesota,23.9,200.66,102.73858800000001,43.5,4.74,2.29,1.01,-3.5300000000000002,0.057699999999999994,0.16799999999999998,0.16509999999999997,0.4372,0.09529999999999998
Mississippi,24.0,204.47,105.46014,16.0,4.1000000000000005,1.4500000000000002,0.65,0.25,0.0775,0.1055,0.1745,0.5625,0.1095
Mississippi State,23.125,202.2475,103.19218000000001,24.125,2.25,1.8125,0.7625000000000001,-3.975,0.075,0.13824999999999998,0.15425,0.442625,0.124375
Missouri,22.846153846153847,196.9476923076923,94.38202769230769,48.46153846153846,6.138461538461538,1.869230769230769,1.5769230769230769,-6.0,0.03653846153846154,0.10553846153846153,0.18999999999999997,0.48969230769230765,0.13499999999999998
Missouri State,23.5,196.85000000000002,91.17199199999999,13.0,3.35,1.5,0.8500000000000001,-12.600000000000001,0.02899999999999995,0.1525,0.18499999999999994,0.4139999999999999,0.153
Missouri-Kansas City,24.0,198.12,86.18248,24.0,3.6,0.7,1.0,-4.1,0.012,0.055,0.1989999999999999,0.402,0.134
Molloy,22.0,195.58,83.91452,6.0,4.7,2.7,1.2,-17.9,0.018,0.125,0.154,0.4379999999999999,0.13
Montana,28.0,194.37,91.39511999999999,5.5,1.45,1.15,1.0,5.1,0.0995,0.183,0.15400000000000003,0.434,0.2235
Montevallo,23.0,195.58,97.52228,15.0,2.4,1.5,0.4,-24.0,0.079,0.098,0.162,0.366,0.078
Morehead State,28.0,200.66,107.04771199999999,23.5,5.1,4.35,0.4,-13.55,0.079,0.21550000000000002,0.135,0.309,0.0275
Morehouse,27.0,195.58,99.79024,27.0,6.1,1.9,0.7,-9.4,0.089,0.092,0.204,0.591,0.105
Mt. San Antonio,29.0,200.66,92.98636,22.0,4.5,2.0,1.2,-8.9,0.0579999999999999,0.103,0.185,0.4029999999999999,0.135
Murray State,23.0,193.46333333333334,90.491604,49.333333333333336,7.05,3.1166666666666667,2.0833333333333335,-1.3333333333333333,0.053999999999999986,0.12699999999999997,0.19083333333333333,0.5326666666666667,0.16966666666666663
Navy,31.0,215.9,106.59412,6.0,17.7,8.5,1.3,9.6,0.161,0.237,0.3339999999999999,0.5589999999999999,0.111
Nebraska,24.4,198.628,97.52228,27.4,5.220000000000001,1.36,1.02,16.2,0.0424,0.09999999999999995,0.1982,0.627,0.10499999999999998
Nevada,22.142857142857142,202.4742857142857,100.56782628571429,36.285714285714285,4.757142857142857,2.457142857142857,1.5714285714285714,-6.7,0.07228571428571427,0.151,0.19614285714285715,0.48342857142857143,0.14914285714285716
Nevada-Las Vegas,24.57894736842105,201.86315789473684,101.151016,42.473684210526315,5.7631578947368425,2.8526315789473684,1.1157894736842104,-11.38421052631579,0.06442105263157893,0.1293157894736842,0.16657894736842102,0.46799999999999997,0.0823157894736842
Nevada-Reno,28.0,200.66000000000003,98.65626,46.0,3.0,1.9000000000000001,1.0999999999999999,0.09999999999999987,0.032,0.134,0.116,0.5605,0.12
New Mexico,23.77777777777778,205.45777777777778,108.10609333333333,36.55555555555556,3.8000000000000003,2.433333333333333,0.8666666666666667,-7.766666666666666,0.11033333333333334,0.12522222222222223,0.1831111111111111,0.4414444444444444,0.09633333333333333
New Mexico State,26.333333333333332,198.96666666666667,101.30221333333333,27.833333333333332,2.983333333333333,1.3166666666666667,0.75,4.95,0.038,0.13849999999999998,0.23316666666666666,0.42883333333333334,0.1825
New Orleans,29.666666666666668,204.89333333333335,107.047712,41.666666666666664,4.1000000000000005,4.633333333333334,0.43333333333333335,-25.633333333333336,0.13433333333333333,0.13199999999999998,0.18266666666666667,0.36166666666666664,0.032
Nicholls State,26.0,205.74,104.32616,19.0,1.2,0.7,0.2,5.7,0.102,0.1159999999999999,0.174,0.525,0.103
